parentGameId,variableId,variableName,category,scopeType,scopeLevel,isSubcategory,defaultValue
9d3rn00d,e8mrxpvl,Category (100%),5dwg64ek,full-game,,true,klrwo401
9d3rn00d,ylqmvzwn,Category (BtB),,single-level,rdnqoend,true,9qjy85oq
9d3rn00d,dloy1z58,Category (EtP - PU),,single-level,z98mr17w,true,5lmjm90l
9d3rn00d,gnxvkzxl,Category (SE - All Choices),7dg60pgk,single-level,ldy31mj9,true,013e6yyq
9d3rn00d,9l77q4zl,Category (BBO - All Choices),7dg60pgk,single-level,gdryp58w,true,0q5e33vq
9d3rn00d,yn25zdgn,Category (LU - All Choices),7dg60pgk,single-level,nwl2grpd,true,814ewwkl
9d3rn00d,kn0jq1zl,Category (StD - PU),,single-level,yweq26qw,true,xqkknn4q
9d3rn00d,ql67jq78,Category (ItA - PU),,single-level,495mk72w,true,mln6oonq
9d3rn00d,onvj307n,Category (FtE - PU),,single-level,xd14jgqd,true,4lxovvgl
9d3rn00d,ylpe5068,Category (GI),,single-level,ewp87gl9,true,jqzerrkq
9d3rn00d,0nwoev0l,Category (CA - All Choices),7dg60pgk,single-level,y9m25lld,true,gq7dvvdq
9d3rn00d,7896qw38,Category (PD - All Choices),7dg60pgk,single-level,5wkqky5w,true,jqzerr8q
9d3rn00d,onvj305n,Category (TB - All Choices),7dg60pgk,single-level,59240xgw,true,21dgjj51
9d3rn00d,ylpe50k8,Category (IRO - All Choices),7dg60pgk,single-level,29vzm41d,true,4qyovv2l
9d3rn00d,ql672jx8,Category (Any%),ndx45152,full-game,,true,jq6rykvq
9d3rn00d,rn102oo8,Category (JPE - All Choices),7dg60pgk,single-level,69z8pk69,true,jq6rym7q
9d3rn00d,p8542o7l,Category (UB - All Choices),7dg60pgk,single-level,r9g7yvq9,true,81woeg5l
